SA2_CODE16,avg_income,Median_tot_fam_inc_weekly,Tot_P_P,Median_age_persons,Median_rent_weekly
201011001,1862.008106,1833,11654,34,310
201011002,1794.138669,1867,12046,42,260
201011003,1540.676654,1574,23083,39,250
201011004,1236.168969,1242,24231,36,240
201011005,1937.960572,1921,7153,38,300
201011006,1502.5713,1465,7082,36,260
201011007,1815.179581,1745,3932,41,236
201011008,1231.732107,1234,14633,39,220
201021009,1698.002738,1631,5870,43,250
201021010,1329.509638,1272,7821,48,200
201021011,1358.187774,1311,8956,51,266
201021012,1684.716579,1603,5656,44,190
201031013,1062.969864,1056,3302,52,150
201031014,1256.895772,1207,4395,49,165
201031015,1391.803854,1329,4483,43,200
201031016,1024.443516,987,7921,50,200
201031017,1079.713641,1022,5268,51,160
202011018,1352.078441,1293,14460,40,240
202011019,1208.196966,1188,11965,37,245
202011020,1545.426514,1493,13507,44,255
202011021,1516.800644,1544,9295,34,260
202011022,1324.378632,1324,19687,40,250
202011023,1985.518169,1945,5084,35,330
202011024,2088.135012,2002,8630,37,350
202011025,1584.014471,1551,11747,33,290
202021026,1836.581857,1755,7184,40,265
202021027,1304.965442,1342,10583,47,265
202021028,1343.90734,1276,8474,51,230
202021029,1244.198734,1141,4513,53,200
202021030,1634.466188,1575,9648,45,300
202021031,2073.603514,2025,6899,43,320
202031032,1467.113636,1421,4363,45,180
202031033,1136.526734,1112,7057,51,125
203011034,1937.589245,1805,6420,35,315
203011035,1711.193541,1608,6855,41,200
203011036,1747.46834,1564,5745,44,240
203021037,1467.746769,1545,14021,39,290
203021038,1144.710415,1058,26348,36,230
203021039,1655.469208,1820,12694,40,290
203021040,1629.52095,1774,19468,37,280
203021041,1634.720024,1647,23275,37,330
203021042,2032.668675,2043,22098,38,310
203021043,1840.984275,1803,18088,37,310
203021044,1604.565317,1588,12814,39,330
203021045,1226.9762,1220,14593,44,260
203021046,2159.181194,2265,10155,40,300
203021047,1458.327194,1403,14631,42,284
203031048,1498.106901,1405,13349,45,300
203031049,1663.547158,1595,5051,52,320
203031050,1877.431674,1877,23421,40,350
203031051,1229.75683,1173,7397,58,270
203031052,1627.429514,1598,4148,59,300
203031053,2075.52106,2036,18362,39,400
204011054,1251.378767,1291,6337,53,200
204011055,1243.815813,1236,6278,54,175
204011056,1622.837094,1556,13871,40,280
204011057,1366.337081,1340,8848,47,231
204011058,1409.125185,1393,4004,50,220
204011059,1297.756098,1253,6327,45,200
204011060,1761.548003,1686,4432,38,250
204011061,1086.186667,1291,182,48,200
204011062,1332.097313,1277,3560,51,240
204021063,1231.641566,1205,10330,49,200
204021064,1423.44591,1317,3595,50,160
204021065,1444.363872,1447,3869,46,200
204021066,1327.215841,1355,18710,44,220
204021067,1555.232131,1449,9600,47,160
204031068,1514.706803,1461,4569,49,250
204031069,1362.490682,1336,8154,48,220
204031070,1524.786067,1584,3100,45,203
204031071,1283.207152,1310,4634,50,195
204031072,1351.067871,1334,5956,50,150
204031073,1567.301395,1557,14955,37,250
204031074,1522.685783,1545,24398,36,250
204031075,1791.335384,1708,4487,45,220
205011076,1457.443939,1405,16207,40,270
205011077,1580.720759,1454,6019,47,195
205011078,1578.038774,1483,7641,43,250
205011079,1598.453635,1523,18758,42,250
205021080,,0,4,0,0
205021081,1286.83869,1262,14728,44,240
205021082,1326.856013,1273,7743,48,162
205021083,,0,0,0,0
205021084,1184.657818,1133,9916,54,225
205021085,1076.990234,1066,6448,53,150
205021086,1267.280756,1145,6313,58,250
205031087,1238.705873,1205,8731,52,185
205031088,501.2840909,843,119,56,150
205031089,1395.958121,1334,9122,45,220
205031090,1436.746878,1401,11079,44,230
205031091,1263.964226,1208,10387,50,260
205031092,,0,13,39,120
205031093,1227.332871,1181,22228,50,240
205041094,1645.07107,1511,11401,42,200
205041095,1274.940369,1225,16551,44,170
205041096,1167.172781,1092,13808,43,180
205041097,1642.055562,1663,26785,38,240
205041098,1720.932498,1671,4550,40,200
